"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"GqZ-GeXPr5m-58h5RBwQvw","Prairie House Food & Spirits","FALSE","https://www.yelp.com/biz/prairie-house-food-and-spirits-prairie-du-sac?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","American (Traditional) | Breakfast & Brunch | Pizza","3.5","43.2934858","-89.74459","$$","1920 Prairie St"
"avvlk7c_lAs9ti6eYpRNFA","Eagle Inn - Sauk Prairie","FALSE","https://www.yelp.com/biz/eagle-inn-sauk-prairie-prairie-du-sac?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","26","Breakfast & Brunch | American (Traditional)","3.5","43.292556","-89.722726","$","655 Water St"
"CAbvaSyOEsorzopTIx16fg","A&W Restaurant","FALSE","https://www.yelp.com/biz/a-and-w-restaurant-de-forest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Fast Food","3","43.2502676546574","-89.3735895305872","$","4905 County Hwy V"
"AjqPcplQ5bw25teVwoNJPA","Phillips 66-Arbys","FALSE","https://www.yelp.com/biz/phillips-66-arbys-de-forest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Fast Food | Sandwiches","2.5","43.2755608","-89.362933","","4884 County Rd Dm"
"Qu-akC62bOxMq3yFHeGwRg","Subway","FALSE","https://www.yelp.com/biz/subway-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Sandwiches | Fast Food","1","43.2713584899902","-89.7367706298828","$","829 Phillips Blvd"
"9CADXU8Tj-TzW44SiWvaug","Wood BBQ","FALSE","https://www.yelp.com/biz/wood-bbq-sauk-city-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","52","Barbeque","4.5","43.27146","-89.73223","$$","739 Phillips Blvd"
"Sc8qRvkzgyV0peWhwRPqFg","No 1 Kitchen","FALSE","https://www.yelp.com/biz/no-1-kitchen-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Chinese","3","43.2716674804688","-89.7258834838867","$","815 Madison St"
"zu6Exd954JzOxxrCCIqeMQ","Culver's","FALSE","https://www.yelp.com/biz/culvers-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","14","Fast Food | Burgers","4","43.2708","-89.72985","$","716 Phillips Blvd"
"TVUufWPO1LCmij8VjZufkw","McDonald's","FALSE","https://www.yelp.com/biz/mcdonalds-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Burgers | Fast Food | Coffee & Tea","2","43.27162","-89.73093","$","727 US Hwy 12 Phillips Blvd"
"LwApwrStARNn40Ymy1OBkw","Milio's Sandwiches","FALSE","https://www.yelp.com/biz/milios-sandwiches-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Sandwiches","3.5","43.27093","-89.72647","","410 Phillips Blvd"
"nrWDEmt1PzPV97o4cjKyqw","Pizza Hut","FALSE","https://www.yelp.com/biz/pizza-hut-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Italian | Pizza | Chicken Wings","3","43.2710761376439","-89.7343993432388","","825 Phillips Blvd"
"xXx73HKNi9dqkEYx8eSAQg","Vintage Brewing","FALSE","https://www.yelp.com/biz/vintage-brewing-sauk-city-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","Brewpubs | Burgers | Sandwiches","3.5","43.2740084483252","-89.7208303600144","$$","600 Water St"
"KhoYfLSeGaiAD-nXPeOhkQ","Riviera Bowl & Pizzeria","FALSE","https://www.yelp.com/biz/riviera-bowl-and-pizzeria-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","Bowling | American (Traditional)","4.5","43.2743602519673","-89.719426684178","","51 Polk St"
"YpVnGFoWJG2-atnAAuBoNw","Easy Landing","FALSE","https://www.yelp.com/biz/easy-landing-marshall?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","American (Traditional)","4","43.267951965332","-89.0680465698242","","7652 State Road 73"
"LqhGOK8p0IZx7TzkFF_N4A","Green Acres","FALSE","https://www.yelp.com/biz/green-acres-sauk-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","40","Seafood | Steakhouses","4","43.2640012","-89.7159461","$$","7438 State Road 78"
"CFGlcwlg-l-tIuJ_F58AxA","Dorf Haus Supper Club","FALSE","https://www.yelp.com/biz/dorf-haus-supper-club-sauk-city-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","52","American (Traditional) | German | Bars","4","43.24908","-89.67658","$$","8931 County Rd Y"
"29uk0fZJAWdSQhWhasYI9A","Tootsie's Tap","FALSE","https://www.yelp.com/biz/tootsies-tap-dane?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Bars | American (Traditional) | Pool Halls","5","43.2501984","-89.4998474","$","115 E Main St"
"M5y2FZKG9fA0OIDIjajaVQ","Mickey D's Corner Bar","FALSE","https://www.yelp.com/biz/mickey-ds-corner-bar-dane?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (Traditional) | Breakfast & Brunch","5","43.25214","-89.49978","$","102 Dane St"
"c_-0jkr-MkK2EdlbJaXgyw","Willy Street Co-op","FALSE","https://www.yelp.com/biz/willy-street-co-op-madison-6?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","Grocery | Delis | Juice Bars & Smoothies","4.5","43.1276538223028","-89.3634970486164","$$","2817 N Sherman Ave"
"8u6wAMmTMdJskMGLYo-5Iw","Culver's","FALSE","https://www.yelp.com/biz/culvers-deforest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","21","Ice Cream & Frozen Yogurt | Fast Food | Burgers","4","43.25104","-89.37498","$","4910 Cnty Rd V"
"9z7Nlp24nc4nUbtaQDKOAQ","Burger King","FALSE","https://www.yelp.com/biz/burger-king-de-forest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Burgers | Fast Food","5","43.2467117","-89.3745499","","105 Evco Cir"
"ewsYllWspvnP8aP0C4ctLQ","McDonald's","FALSE","https://www.yelp.com/biz/mcdonalds-deforest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Burgers | Fast Food | Coffee & Tea","1.5","43.2498818862492","-89.3754141032696","$","981 W North St"
"cRx3YlYMEp42Dlo347vC1g","All Stop Deforest","FALSE","https://www.yelp.com/biz/all-stop-deforest-de-forest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Pizza | American (New)","2","43.2498589","-89.3740768","$$","4905 County Hwy V"
"GQOvHuqaFMLZQ1-EfFEJnw","Arby's","FALSE","https://www.yelp.com/biz/arbys-de-forest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Fast Food | Sandwiches","2","43.2506216806295","-89.3729346180475","$","4884 County Hwy V"
"E0NTkeCOSaEK6oqGTttJTA","Subway","FALSE","https://www.yelp.com/biz/subway-de-forest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Sandwiches | Fast Food","5","43.2502472","-89.3719824","$","4867 County Hwy V"
"56731_C-5MmSxdCtNnhUDw","Taco Bell","FALSE","https://www.yelp.com/biz/taco-bell-de-forest-3?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Tex-Mex | Fast Food | Mexican","3.5","43.25049","-89.36915","$","4866 County Highway V"
"eRIgaUA3JFOxKXKH4mvshQ","Norske Nook Restaurant & Bakery","FALSE","https://www.yelp.com/biz/norske-nook-restaurant-and-bakery-deforest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","97","Desserts | Comfort Food","3","43.2479515075684","-89.3435592651367","$$","100 East Holum St"
"XE97VxjZoRxV6IM05grY0g","Sizzling Hut","FALSE","https://www.yelp.com/biz/sizzling-hut-deforest-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","21","Szechuan","4.5","43.2510066","-89.3439362","$$","404 N Main St"
"Lj4QPvC27y4cLa3w9szkGA","Deforest Family Restaurant","FALSE","https://www.yelp.com/biz/deforest-family-restaurant-de-forest?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","42","American (Traditional)","3.5","43.2522735595703","-89.3533325195312","$","505 W North St"
